etikett,selskaper,kode_klass,standard_klass,kode_selskapstekst,vintage,metode
Oppføring av bygninger,1470,41.200,SN2007,41.000,begge,T1
Bedriftsrådgivning og annen administrativ rådgivning,273,70.220,SN2007,70.200,begge,T1
Kjøp og salg av egen fast eiendom,176,68.100,SN2007,68.110,begge,T1
VVS-arbeid,48,43.22,SN2025,43.220,SN2025,T3
Bearbeiding av metaller,39,25.620,SN2007,25.530,begge,T1
Annet installasjonsarbeid,22,43.290,SN2007,43.240,begge,T1
"Engroshandel med fisk, skalldyr og bløtdyr",20,46.381,SN2007,46.322,begge,T1
"Engroshandel med jernvarer, rørleggerartikler og oppvarmings",15,46.740,SN2007,46.840,begge,T1
Annen ferdiggjøring av bygninger,13,43.390,SN2007,43.350,begge,T1
"Produksjon av andre trevarer og varer av kork, strå og flett",13,16.290,SN2007,16.280,begge,T1
Utleie og leasing av andre husholdningsvarer og varer til pe,12,77.290,SN2007,77.220,begge,T1
Vaskeri- og renserivirksomhet,11,96.010,SN2007,96.100,begge,T1
Overflatebehandling av metaller,10,25.610,SN2007,25.510,begge,T1
Telefonvakttjenester og telefonsalg,10,82.20,SN2007,82.200,SN2025,T3
Fritidsvirksomhet ellers,6,93.299,SN2007,93.292,begge,T1
Handel med elektrisitet,6,35.140,SN2007,35.150,begge,T1
Andre tjenester tilknyttet informasjonsteknologi,5,62.090,SN2007,62.900,begge,T1
Utgivelse av aviser,5,58.130,SN2007,58.120,begge,T1
Utgivelse av blader og tidsskrifter,5,58.140,SN2007,58.130,begge,T1
Engroshandel med kjemiske produkter,4,46.750,SN2007,46.850,SN2007,T1
Engroshandel med metaller og metallholdig malm,4,46.720,SN2007,46.820,begge,T1
Produksjon av elektrisitet fra vannkraft,4,35.111,SN2007,35.121,begge,T1
Engroshandel med kjøtt og kjøttvarer,4,46.320,SN2007,46.321,begge,T1
Produksjon av byggevarer av plast,3,22.230,SN2007,22.240,begge,T1
Produksjon av varer av papir og papp ellers,2,17.290,SN2007,17.250,SN2007,T1
Engroshandel med avfall og skrap,2,46.770,SN2007,46.870,SN2007,T1
Produksjon av låser og beslag,2,25.720,SN2007,25.620,begge,T1
Passasjertransport med jernbane,2,49.100,SN2007,49.110,SN2007,T1
Revisjon,1,69.202,SN2007,69.201,SN2007,T1
"Smiing, stansing og valsing av metall, og pulvermetallurgi",1,25.500,SN2007,25.400,SN2007,T1
Spesielle holdingselskaper,1,64.202,SN2007,64.220,SN2007,T1
Undervisning ved andre høgskoler,1,85.429,SN2007,85.403,SN2007,T1
Produksjon av elektrisitet fra vindkraft,1,35.112,SN2007,35.122,SN2007,T1
Produksjon av teknisk glass og andre glassvarer,1,23.190,SN2007,23.150,SN2007,T1
