etikett,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,sn2007_kode,sn2007_navn,sn2025_kode,sn2025_navn,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,er_bygg_sn2007,er_bygg_sn2025,selskapstekst_kode
Oppføring av bygninger,1470,2018-10-19,2026-08-24,1169,301,begge,T1,41.200,Oppføring av bygninger,41.000,Oppføring av bygninger,41.200,Oppføring av bygninger,direkte,true,true,41.000
Drift av restauranter og kafeer,834,2019-10-22,2025-08-27,834,0,SN2007,T1,56.101,Drift av restauranter og kafeer,,,56.101,Drift av restauranter og kafeer,direkte,false,,
Snekkerarbeid,411,2021-02-10,2026-08-18,321,90,begge,T1,43.320,Snekkerarbeid,43.320,Snekkerarbeid,43.320,Snekkerarbeid,direkte,true,true,43.320
Godstransport på vei,384,2019-05-28,2026-08-17,282,102,begge,T1,49.410,Godstransport på vei,49.410,Godstransport på vei,49.410,Godstransport på vei,direkte,false,false,49.410
Grunnarbeid,333,2020-01-10,2026-08-24,242,91,begge,T1,43.120,Grunnarbeid,43.120,Grunnarbeid,43.120,Grunnarbeid,direkte,true,true,43.120
Drift av restauranter,309,2025-09-02,2026-08-24,0,309,SN2025,T2,,,56.110,Drift av restauranter,56.101|56.102,Drift av restauranter og kafeer | Drift av gatekjøkken,korrespondanse-1tilmange,false,false,56.110
Utleie av egen eller leid fast eiendom ellers,308,2017-12-20,2025-08-29,308,0,SN2007,T1,68.209,Utleie av egen eller leid fast eiendom ellers,,,68.209,Utleie av egen eller leid fast eiendom ellers,direkte,false,,
Utvikling og salg av egen fast eiendom ellers,296,2019-02-19,2025-08-29,296,0,SN2007,T1,41.109,Utvikling og salg av egen fast eiendom ellers,,,41.109,Utvikling og salg av egen fast eiendom ellers,direkte,true,,
Uoppgitt,290,2021-04-15,2026-08-24,191,99,begge,T4,,,00.000,Uoppgitt,,,,,false,00.000
Bedriftsrådgivning og annen administrativ rådgivning,273,2021-09-10,2026-08-17,186,87,begge,T1,70.220,Bedriftsrådgivning og annen administrativ rådgivning,70.200,Bedriftsrådgivning og annen administrativ rådgivning,70.220,Bedriftsrådgivning og annen administrativ rådgivning,direkte,false,false,70.200
Annen teknisk konsulentvirksomhet,267,2019-11-28,2026-08-21,205,62,begge,T1,71.129,Annen teknisk konsulentvirksomhet,71.129,Annen teknisk konsulentvirksomhet,71.129,Annen teknisk konsulentvirksomhet,direkte,false,false,71.129
Programmeringstjenester,202,2021-06-16,2025-08-27,202,0,SN2007,T1,62.010,Programmeringstjenester,,,62.010,Programmeringstjenester,direkte,false,,
Annen spesialisert bygge- og anleggsvirksomhet,189,2017-05-15,2025-08-26,189,0,SN2007,T1,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,43.990,Annen spesialisert bygge- og anleggsvirksomhet,direkte,true,,
Kjøp og salg av egen fast eiendom,176,2019-02-06,2026-08-21,119,57,begge,T1,68.100,Kjøp og salg av egen fast eiendom,68.110,Kjøp og salg av egen fast eiendom,68.100,Kjøp og salg av egen fast eiendom,direkte,false,false,68.110
Frisering og annen skjønnhetspleie,174,2022-08-19,2025-08-27,174,0,SN2007,T1,96.020,Frisering og annen skjønnhetspleie,,,96.020,Frisering og annen skjønnhetspleie,direkte,false,,
Rørleggerarbeid,170,2019-11-19,2026-08-21,152,18,begge,T1,43.221,Rørleggerarbeid,43.221,Rørleggerarbeid,43.221,Rørleggerarbeid,direkte,true,true,43.221
Butikkhandel med klær,165,2020-03-10,2025-08-21,165,0,SN2007,T1,47.710,Butikkhandel med klær,,,47.710,Butikkhandel med klær,direkte,false,,
"Vedlikehold og reparasjon av motorvogner, unntatt motorsykle",159,2022-02-14,2025-08-19,159,0,SN2007,T1,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",direkte,false,,
Elektrisk installasjonsarbeid,144,2019-10-28,2026-08-04,102,42,begge,T1,43.210,Elektrisk installasjonsarbeid,43.210,Elektrisk installasjonsarbeid,43.210,Elektrisk installasjonsarbeid,direkte,true,true,43.210
