etikett,flerbransje,primaernaering,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,standard,kode,kodenavn,kodeniva,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,naering2,er_bygg_F,er_bygg_kjerne,er_eiendomsutvikling_41_1,manuell_grunn
Oppføring av bygninger,false,,1470,2018-10-19,2026-08-24,1169,301,begge,T1,SN2007,41.200,Oppføring av bygninger,5,41.200,Oppføring av bygninger,direkte SN2007,41,true,true,false,
Drift av restauranter og kafeer,false,,834,2019-10-22,2025-08-27,834,0,SN2007,T1,SN2007,56.101,Drift av restauranter og kafeer,5,56.101,Drift av restauranter og kafeer,direkte SN2007,56,false,false,false,
Snekkerarbeid,false,,411,2021-02-10,2026-08-18,321,90,begge,T1,SN2007,43.320,Snekkerarbeid,5,43.320,Snekkerarbeid,direkte SN2007,43,true,true,false,
Godstransport på vei,false,,384,2019-05-28,2026-08-17,282,102,begge,T1,SN2007,49.410,Godstransport på vei,5,49.410,Godstransport på vei,direkte SN2007,49,false,false,false,
Grunnarbeid,false,,333,2020-01-10,2026-08-24,242,91,begge,T1,SN2007,43.120,Grunnarbeid,5,43.120,Grunnarbeid,direkte SN2007,43,true,true,false,
Drift av restauranter,false,,309,2025-09-02,2026-08-24,0,309,SN2025,T2,SN2025,56.110,Drift av restauranter,5,56.101|56.102,Drift av restauranter og kafeer | Drift av gatekjøkken,korrespondanse 1:n,56,false,false,false,
Utleie av egen eller leid fast eiendom ellers,false,,308,2017-12-20,2025-08-29,308,0,SN2007,T1,SN2007,68.209,Utleie av egen eller leid fast eiendom ellers,5,68.209,Utleie av egen eller leid fast eiendom ellers,direkte SN2007,68,false,false,false,
Utvikling og salg av egen fast eiendom ellers,false,,296,2019-02-19,2025-08-29,296,0,SN2007,T1,SN2007,41.109,Utvikling og salg av egen fast eiendom ellers,5,41.109,Utvikling og salg av egen fast eiendom ellers,direkte SN2007,41,true,false,true,
Uoppgitt,false,,290,2021-04-15,2026-08-24,191,99,begge,IKKE_NAERING,,,,,,,,,,,,
Bedriftsrådgivning og annen administrativ rådgivning,false,,273,2021-09-10,2026-08-17,186,87,begge,T1,SN2007,70.220,Bedriftsrådgivning og annen administrativ rådgivning,5,70.220,Bedriftsrådgivning og annen administrativ rådgivning,direkte SN2007,70,false,false,false,
Annen teknisk konsulentvirksomhet,false,,267,2019-11-28,2026-08-21,205,62,begge,T1,SN2007,71.129,Annen teknisk konsulentvirksomhet,5,71.129,Annen teknisk konsulentvirksomhet,direkte SN2007,71,false,false,false,
Programmeringstjenester,false,,202,2021-06-16,2025-08-27,202,0,SN2007,T1,SN2007,62.010,Programmeringstjenester,5,62.010,Programmeringstjenester,direkte SN2007,62,false,false,false,
Annen spesialisert bygge- og anleggsvirksomhet,false,,189,2017-05-15,2025-08-26,189,0,SN2007,T1,SN2007,43.990,Annen spesialisert bygge- og anleggsvirksomhet,5,43.990,Annen spesialisert bygge- og anleggsvirksomhet,direkte SN2007,43,true,true,false,
Kjøp og salg av egen fast eiendom,false,,176,2019-02-06,2026-08-21,119,57,begge,T1,SN2007,68.100,Kjøp og salg av egen fast eiendom,5,68.100,Kjøp og salg av egen fast eiendom,direkte SN2007,68,false,false,false,
Frisering og annen skjønnhetspleie,false,,174,2022-08-19,2025-08-27,174,0,SN2007,T1,SN2007,96.020,Frisering og annen skjønnhetspleie,5,96.020,Frisering og annen skjønnhetspleie,direkte SN2007,96,false,false,false,
Rørleggerarbeid,false,,170,2019-11-19,2026-08-21,152,18,begge,T1,SN2007,43.221,Rørleggerarbeid,5,43.221,Rørleggerarbeid,direkte SN2007,43,true,true,false,
Butikkhandel med klær,false,,165,2020-03-10,2025-08-21,165,0,SN2007,T1,SN2007,47.710,Butikkhandel med klær,5,47.710,Butikkhandel med klær,direkte SN2007,47,false,false,false,
"Vedlikehold og reparasjon av motorvogner, unntatt motorsykle",false,,159,2022-02-14,2025-08-19,159,0,SN2007,T1,SN2007,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
Elektrisk installasjonsarbeid,false,,144,2019-10-28,2026-08-04,102,42,begge,T1,SN2007,43.210,Elektrisk installasjonsarbeid,5,43.210,Elektrisk installasjonsarbeid,direkte SN2007,43,true,true,false,
Rengjøring av bygninger,false,,137,2020-03-10,2026-08-17,95,42,begge,T1,SN2007,81.210,Rengjøring av bygninger,5,81.210,Rengjøring av bygninger,direkte SN2007,81,false,false,false,
Utleie av egen eller leid fast eiendom,false,,134,2025-09-01,2026-08-24,0,134,SN2025,T2,SN2025,68.200,Utleie av egen eller leid fast eiendom,5,68.209,Utleie av egen eller leid fast eiendom ellers,korrespondanse 1:1,68,false,false,false,
Drift av gatekjøkken,false,,133,2020-04-17,2025-08-21,133,0,SN2007,T1,SN2007,56.102,Drift av gatekjøkken,5,56.102,Drift av gatekjøkken,direkte SN2007,56,false,false,false,
Malerarbeid,false,,123,2022-03-01,2025-08-14,123,0,SN2007,T1,SN2007,43.341,Malerarbeid,5,43.341,Malerarbeid,direkte SN2007,43,true,true,false,
Butikkhandel med bredt vareutvalg med hovedvekt på nærings-,false,,114,2021-11-05,2025-08-19,114,0,SN2007,T1,SN2007,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,5,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,direkte SN2007,47,false,false,false,
"Detaljhandel med biler og lette motorvogner, unntatt motorsy",false,,107,2021-07-08,2025-08-20,107,0,SN2007,T1,SN2007,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
Utvikling og salg av byggeprosjekter,false,,102,2025-09-08,2026-08-24,0,102,SN2025,T2,SN2025,68.120,Utvikling og salg av byggeprosjekter,5,41.101|41.109|42.990,Boligbyggelag | Utvikling og salg av egen fast eiendom ellers | Bygging av andre anlegg ikke nevnt annet sted,korrespondanse 1:n,41|42,true,true,true,
Byggeteknisk konsulentvirksomhet,false,,98,2021-01-11,2026-06-22,68,30,begge,T1,SN2007,71.121,Byggeteknisk konsulentvirksomhet,5,71.121,Byggeteknisk konsulentvirksomhet,direkte SN2007,71,false,false,false,
Postordre-/Internetthandel med annet spesialisert vareutvalg,false,,95,2020-07-06,2025-08-15,95,0,SN2007,T1,SN2007,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg,5,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg,direkte SN2007,47,false,false,false,
Reklamebyråer,false,,89,2022-09-02,2025-08-13,89,0,SN2007,T1,SN2007,73.110,Reklamebyråer,5,73.110,Reklamebyråer,direkte SN2007,73,false,false,false,
Andre post- og budtjenester,false,,85,2021-10-05,2026-08-21,63,22,begge,T1,SN2007,53.200,Andre post- og budtjenester,5,53.200,Andre post- og budtjenester,direkte SN2007,53,false,false,false,
Utleie av arbeidskraft,false,,83,2019-10-23,2025-08-19,83,0,SN2007,T1,SN2007,78.200,Utleie av arbeidskraft,5,78.200,Utleie av arbeidskraft,direkte SN2007,78,false,false,false,
Konsulentvirksomhet tilknyttet informasjonsteknologi,false,,77,2022-08-23,2025-08-28,77,0,SN2007,T1,SN2007,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,5,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,direkte SN2007,62,false,false,false,
Dataprogrammeringstjenester,false,,71,2025-09-01,2026-08-24,0,71,SN2025,T2,SN2025,62.100,Dataprogrammeringstjenester,5,62.010,Programmeringstjenester,korrespondanse 1:1,62,false,false,false,
Cateringvirksomhet,false,,61,2022-01-26,2025-08-18,61,0,SN2007,T1,SN2007,56.210,Cateringvirksomhet,5,56.210,Cateringvirksomhet,direkte SN2007,56,false,false,false,
