standard,versjon_id,kode,navn,niva,forelder
SN2007,30,01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",2,A
SN2007,30,01.1,Dyrking av ettårige vekster,3,01
SN2007,30,01.2,Dyrking av flerårige vekster,3,01
SN2007,30,01.3,Planteformering,3,01
SN2007,30,01.4,Husdyrhold,3,01
SN2007,30,01.5,Kombinert husdyrhold og planteproduksjon,3,01
SN2007,30,01.6,Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,3,01
SN2007,30,01.7,"Jakt, viltstell og tjenester tilknyttet jakt og viltstell",3,01
SN2007,30,01.11,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster",4,01.1
SN2007,30,01.12,Dyrking av ris,4,01.1
SN2007,30,01.13,"Dyrking av grønnsaker, meloner, rot- og knollvekster",4,01.1
SN2007,30,01.14,Dyrking av sukkerrør,4,01.1
SN2007,30,01.15,Dyrking av tobakk,4,01.1
SN2007,30,01.16,Dyrking av fibervekster,4,01.1
SN2007,30,01.19,Dyrking av ettårige vekster ellers,4,01.1
SN2007,30,01.21,Dyrking av druer,4,01.2
SN2007,30,01.22,Dyrking av tropiske og subtropiske frukter,4,01.2
SN2007,30,01.23,Dyrking av sitrusfrukter,4,01.2
SN2007,30,01.24,Dyrking av kjernefrukter og steinfrukter,4,01.2
SN2007,30,01.25,Dyrking av annen frukt som vokser på trær eller busker samt nøtter,4,01.2
SN2007,30,01.26,Dyrking av oljeholdige frukter,4,01.2
SN2007,30,01.27,Dyrking av vekster for produksjon av drikkevarer,4,01.2
SN2007,30,01.28,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",4,01.2
SN2007,30,01.29,Dyrking av flerårige vekster ellers,4,01.2
SN2007,30,01.30,Planteformering,4,01.3
SN2007,30,01.41,Melkeproduksjon på storfe,4,01.4
SN2007,30,01.42,Oppdrett av annet storfe,4,01.4
SN2007,30,01.43,Oppdrett av hester og andre dyr av hestefamilien,4,01.4
SN2007,30,01.44,Oppdrett av kameler og andre kameldyr,4,01.4
SN2007,30,01.45,Saue- og geitehold,4,01.4
SN2007,30,01.46,Svinehold,4,01.4
SN2007,30,01.47,Fjørfehold,4,01.4
SN2007,30,01.49,Husdyrhold ellers,4,01.4
SN2007,30,01.50,Kombinert husdyrhold og planteproduksjon,4,01.5
SN2007,30,01.61,Tjenester tilknyttet planteproduksjon,4,01.6
SN2007,30,01.62,Tjenester tilknyttet husdyrhold,4,01.6
SN2007,30,01.63,Etterbehandling av vekster etter innhøsting,4,01.6
SN2007,30,01.64,Behandling av såfrø,4,01.6
SN2007,30,01.70,"Jakt, viltstell og tjenester tilknyttet jakt og viltstell",4,01.7
SN2007,30,01.110,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster",5,01.11
SN2007,30,01.120,Dyrking av ris,5,01.12
SN2007,30,01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",5,01.13
SN2007,30,01.140,Dyrking av sukkerrør,5,01.14
SN2007,30,01.150,Dyrking av tobakk,5,01.15
SN2007,30,01.160,Dyrking av fibervekster,5,01.16
SN2007,30,01.190,Dyrking av ettårige vekster ellers,5,01.19
SN2007,30,01.210,Dyrking av druer,5,01.21
SN2007,30,01.220,Dyrking av tropiske og subtropiske frukter,5,01.22
SN2007,30,01.230,Dyrking av sitrusfrukter,5,01.23
SN2007,30,01.240,Dyrking av kjernefrukter og steinfrukter,5,01.24
SN2007,30,01.250,Dyrking av annen frukt som vokser på trær eller busker samt nøtter,5,01.25
SN2007,30,01.260,Dyrking av oljeholdige frukter,5,01.26
SN2007,30,01.270,Dyrking av vekster for produksjon av drikkevarer,5,01.27
SN2007,30,01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",5,01.28
SN2007,30,01.290,Dyrking av flerårige vekster ellers,5,01.29
SN2007,30,01.300,Planteformering,5,01.30
SN2007,30,01.410,Melkeproduksjon på storfe,5,01.41
SN2007,30,01.420,Oppdrett av annet storfe,5,01.42
SN2007,30,01.430,Oppdrett av hester og andre dyr av hestefamilien,5,01.43
SN2007,30,01.440,Oppdrett av kameler og andre kameldyr,5,01.44
SN2007,30,01.451,Sauehold,5,01.45
SN2007,30,01.452,Geitehold,5,01.45
SN2007,30,01.460,Svinehold,5,01.46
SN2007,30,01.471,Hold av verpehøner for konsumeggproduksjon,5,01.47
SN2007,30,01.479,Annet fjørfehold,5,01.47
SN2007,30,01.490,Husdyrhold ellers,5,01.49
SN2007,30,01.500,Kombinert husdyrhold og planteproduksjon,5,01.50
SN2007,30,01.610,Tjenester tilknyttet planteproduksjon,5,01.61
SN2007,30,01.620,Tjenester tilknyttet husdyrhold,5,01.62
SN2007,30,01.630,Etterbehandling av vekster etter innhøsting,5,01.63
SN2007,30,01.640,Behandling av såfrø,5,01.64
SN2007,30,01.700,"Jakt, viltstell og tjenester tilknyttet jakt og viltstell",5,01.70
SN2007,30,02,Skogbruk og tjenester tilknyttet skogbruk,2,A
SN2007,30,02.1,Skogskjøtsel og andre skogbruksaktiviteter,3,02
SN2007,30,02.2,Avvirkning,3,02
SN2007,30,02.3,Innsamling av viltvoksende produkter av annet enn tre,3,02
SN2007,30,02.4,Tjenester tilknyttet skogbruk,3,02
SN2007,30,02.10,Skogskjøtsel og andre skogbruksaktiviteter,4,02.1
SN2007,30,02.20,Avvirkning,4,02.2
SN2007,30,02.30,Innsamling av viltvoksende produkter av annet enn tre,4,02.3
SN2007,30,02.40,Tjenester tilknyttet skogbruk,4,02.4
SN2007,30,02.100,Skogskjøtsel og andre skogbruksaktiviteter,5,02.10
SN2007,30,02.200,Avvirkning,5,02.20
SN2007,30,02.300,Innsamling av viltvoksende produkter av annet enn tre,5,02.30
SN2007,30,02.400,Tjenester tilknyttet skogbruk,5,02.40
SN2007,30,03,"Fiske, fangst og akvakultur",2,A
SN2007,30,03.1,Fiske og fangst,3,03
SN2007,30,03.2,Akvakultur,3,03
SN2007,30,03.11,Hav- og kystfiske og fangst,4,03.1
SN2007,30,03.12,Ferskvannsfiske,4,03.1
SN2007,30,03.21,Hav- og kystbasert akvakultur,4,03.2
SN2007,30,03.22,Ferskvannsbasert akvakultur,4,03.2
SN2007,30,03.111,Hav- og kystfiske,5,03.11
SN2007,30,03.112,Hvalfangst,5,03.11
SN2007,30,03.120,Ferskvannsfiske,5,03.12
SN2007,30,03.211,"Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur",5,03.21
SN2007,30,03.212,Produksjon av yngel og settefisk i hav- og kystbasert akvakultur,5,03.21
SN2007,30,03.213,Tjenester tilknyttet hav- og kystbasert akvakultur,5,03.21
SN2007,30,03.221,"Produksjon av matfisk, bløtdyr og krepsdyr i ferskvannsbasert akvakultur",5,03.22
SN2007,30,03.222,Produksjon av yngel og settefisk i ferskvannsbasert akvakultur,5,03.22
