sn2025_kode,sn2025_navn,sn2007_kode,sn2007_navn
01.110,"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster"
01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster"
01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",01.190,Dyrking av ettårige vekster ellers
01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster"
01.190,Dyrking av ettårige vekster ellers,01.190,Dyrking av ettårige vekster ellers
01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster"
01.410,Melkeproduksjon på storfe og oppdrett av melkekyr,01.410,Melkeproduksjon på storfe
01.410,Melkeproduksjon på storfe og oppdrett av melkekyr,01.420,Oppdrett av annet storfe
01.420,Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,Oppdrett av annet storfe
01.430,Hestehold,01.430,Oppdrett av hester og andre dyr av hestefamilien
01.471,Hold av verpehøner for konsumeggproduksjon,01.471,Hold av verpehøner for konsumeggproduksjon
01.471,Hold av verpehøner for konsumeggproduksjon,01.490,Husdyrhold ellers
01.479,Annet fjørfehold,01.479,Annet fjørfehold
01.479,Annet fjørfehold,01.490,Husdyrhold ellers
01.479,Annet fjørfehold,01.620,Tjenester tilknyttet husdyrhold
01.481,Reindrift,01.490,Husdyrhold ellers
01.489,Husdyrhold ikke nevnt annet sted,01.490,Husdyrhold ellers
01.489,Husdyrhold ikke nevnt annet sted,03.222,Produksjon av yngel og settefisk i ferskvannsbasert akvakultur
01.620,Tjenester tilknyttet husdyrhold,01.620,Tjenester tilknyttet husdyrhold
01.630,Etterbehandling av vekster etter innhøsting og behandling av såfrø,01.630,Etterbehandling av vekster etter innhøsting
01.630,Etterbehandling av vekster etter innhøsting og behandling av såfrø,01.640,Behandling av såfrø
01.700,"Jakt, fangst, viltstell og tilknyttede tjenester",01.700,"Jakt, viltstell og tjenester tilknyttet jakt og viltstell"
03.110,Fiske og fangst i sjø,03.111,Hav- og kystfiske
03.110,Fiske og fangst i sjø,03.112,Hvalfangst
03.120,Fiske og fangst i ferskvann,03.120,Ferskvannsfiske
03.211,"Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann",03.211,"Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur"
03.212,Produksjon av yngel og settefisk i sjø og brakkvann,03.212,Produksjon av yngel og settefisk i hav- og kystbasert akvakultur
03.221,"Produksjon av fisk, bløtdyr, krepsdyr og andre dyr som lever i ferskvann",03.221,"Produksjon av matfisk, bløtdyr og krepsdyr i ferskvannsbasert akvakultur"
03.222,Produksjon av yngel og settefisk i ferskvann,03.222,Produksjon av yngel og settefisk i ferskvannsbasert akvakultur
03.300,"Tjenester tilknyttet fiske, fangst og akvakultur",03.111,Hav- og kystfiske
03.300,"Tjenester tilknyttet fiske, fangst og akvakultur",03.120,Ferskvannsfiske
03.300,"Tjenester tilknyttet fiske, fangst og akvakultur",03.213,Tjenester tilknyttet hav- og kystbasert akvakultur
03.300,"Tjenester tilknyttet fiske, fangst og akvakultur",03.223,Tjenester tilknyttet ferskvannsbasert akvakultur
03.300,"Tjenester tilknyttet fiske, fangst og akvakultur",33.110,Reparasjon av bearbeidede metallprodukter
08.110,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",08.111,Bryting av stein til bygge- og anleggsvirksomhet
08.110,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",08.112,"Bryting av kalkstein, gips og kritt"
08.110,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein",08.113,Bryting av skifer
08.910,Bryting og utvinning av kjemiske mineraler og gjødselmineraler,08.910,Bryting og utvinning av kjemiske mineraler og gjødselsmineraler
10.110,Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt,10.110,Bearbeiding og konservering av kjøtt
10.202,"Slakting av fisk, skalldyr og bløtdyr",10.209,"Slakting, bearbeiding og konservering av fisk og fiskevarer ellers"
10.203,"Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr",10.202,"Frysing av fisk, fiskefileter, skalldyr og bløtdyr"
10.203,"Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr",10.203,Produksjon av fiskehermetikk
10.203,"Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr",10.209,"Slakting, bearbeiding og konservering av fisk og fiskevarer ellers"
10.410,Produksjon av oljer og fettstoffer,10.411,Produksjon av rå fiskeoljer og fett
10.410,Produksjon av oljer og fettstoffer,10.412,Produksjon av andre uraffinerte oljer og fett
10.410,Produksjon av oljer og fettstoffer,10.413,Produksjon av raffinerte oljer og fett
10.520,Produksjon av iskrem og andre spiselige isprodukter,10.520,Produksjon av iskrem
10.610,Produksjon av kornvarer,10.610,Produksjon av kornvarer
10.610,Produksjon av kornvarer,10.860,Produksjon av homogeniserte matprodukter og diettmat
10.620,Produksjon av stivelse og stivelsesprodukter,10.620,Produksjon av stivelse og stivelsesprodukter
10.620,Produksjon av stivelse og stivelsesprodukter,10.860,Produksjon av homogeniserte matprodukter og diettmat
10.710,Produksjon av brød og ferske konditorvarer,10.710,Produksjon av brød og ferske konditorvarer
10.710,Produksjon av brød og ferske konditorvarer,10.860,Produksjon av homogeniserte matprodukter og diettmat
10.720,"Produksjon av kavringer, kjeks og konserverte konditorvarer",10.720,"Produksjon av kavringer, kjeks og konserverte konditorvarer"
10.720,"Produksjon av kavringer, kjeks og konserverte konditorvarer",10.860,Produksjon av homogeniserte matprodukter og diettmat
10.730,Produksjon av melprodukter ellers,10.730,"Produksjon av makaroni, nudler, couscous og lignende pastavarer"
10.730,Produksjon av melprodukter ellers,10.860,Produksjon av homogeniserte matprodukter og diettmat
10.860,Produksjon av homogeniserte matprodukter og diettmat,10.860,Produksjon av homogeniserte matprodukter og diettmat
10.890,Produksjon av næringsmidler ikke nevnt annet sted,10.890,Produksjon av næringsmidler ikke nevnt annet sted
10.911,Produksjon av fôrvarer for husdyr i landbruk,10.910,Produksjon av fôrvarer til husdyrhold
10.912,Produksjon av fôrvarer for akvakultur,10.910,Produksjon av fôrvarer til husdyrhold
11.030,Produksjon av sider og andre gjærede fruktdrikker,11.030,Produksjon av sider og annen fruktvin
11.070,Produksjon av leskedrikker og flaskevann,10.890,Produksjon av næringsmidler ikke nevnt annet sted
11.070,Produksjon av leskedrikker og flaskevann,11.070,"Produksjon av mineralvann, leskedrikker og annet vann på flaske"
13.100,Bearbeiding og spinning av tekstilfibre,13.100,Bearbeiding og spinning av tekstilfibrer
13.200,Veving av tekstiler,13.200,Veving av tekstiler
13.300,Etterbehandling av tekstiler,13.300,Etterbehandling av tekstiler
13.300,Etterbehandling av tekstiler,18.120,Trykking ellers
13.910,Produksjon av trikotasjestoffer og heklede stoffer,13.910,Produksjon av stoffer av trikotasje
13.920,Produksjon av husholdningstekstiler og innredningsvarer i stoff klare til bruk,13.921,Produksjon av utstyrsvarer
13.920,Produksjon av husholdningstekstiler og innredningsvarer i stoff klare til bruk,13.929,"Produksjon av andre tekstilvarer, unntatt klær"
13.940,"Produksjon av tauverk, rep, hyssing og nett",13.940,Produksjon av tauverk og nett
13.950,Produksjon av ikke-vevde tekstiler og tekstilvarer,13.950,"Produksjon av ikke-vevde tekstiler og tekstilvarer, unntatt klær"
13.960,Produksjon av tekstiler til teknisk og industriell bruk,13.200,Veving av tekstiler
13.960,Produksjon av tekstiler til teknisk og industriell bruk,13.929,"Produksjon av andre tekstilvarer, unntatt klær"
13.960,Produksjon av tekstiler til teknisk og industriell bruk,13.960,Produksjon av tekstiler til teknisk og industriell bruk
14.100,Produksjon av klær av trikotasje og heklede klær,14.130,Produksjon av annet yttertøy
14.100,Produksjon av klær av trikotasje og heklede klær,14.140,Produksjon av undertøy og innertøy
14.100,Produksjon av klær av trikotasje og heklede klær,14.190,Produksjon av klær og tilbehør ellers
14.100,Produksjon av klær av trikotasje og heklede klær,14.310,Produksjon av strømpevarer
14.100,Produksjon av klær av trikotasje og heklede klær,14.390,Produksjon av andre klær av trikotasje
14.210,Produksjon av yttertøy,14.130,Produksjon av annet yttertøy
14.210,Produksjon av yttertøy,14.140,Produksjon av undertøy og innertøy
14.210,Produksjon av yttertøy,14.190,Produksjon av klær og tilbehør ellers
14.220,Produksjon av undertøy,14.140,Produksjon av undertøy og innertøy
14.220,Produksjon av undertøy,14.190,Produksjon av klær og tilbehør ellers
14.230,Produksjon av arbeidstøy,14.120,Produksjon av arbeidstøy
14.240,Produksjon av klær av lær og pelsvarer,14.110,Produksjon av klær av lær
14.240,Produksjon av klær av lær og pelsvarer,14.200,Produksjon av pelsvarer
14.290,Produksjon av klær og tilbehør ikke nevnt annet sted,14.190,Produksjon av klær og tilbehør ellers
15.110,Beredning og farging av lær og pelsskinn,15.110,"Beredning av lær, og beredning og farging av pelsskinn"
15.200,Produksjon av skotøy,15.200,Produksjon av skotøy
15.200,Produksjon av skotøy,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer"
15.200,Produksjon av skotøy,22.190,Produksjon av gummiprodukter ellers
15.200,Produksjon av skotøy,22.290,Produksjon av plastprodukter ellers
16.110,Saging og høvling av tre,16.100,"Saging, høvling og impregnering av tre"
16.120,Bearbeiding og etterbehandling av tre,16.100,"Saging, høvling og impregnering av tre"
16.210,Produksjon av finerplater og andre bygnings- og møbelplater av tre,16.210,Produksjon av finerplater og andre bygnings- og møbelplater av tre
16.220,Produksjon av sammensatte parkettstaver,16.220,Produksjon av sammensatte parkettstaver
16.230,Produksjon av andre bygningsartikler,16.231,Produksjon av monteringsferdige hus
16.230,Produksjon av andre bygningsartikler,16.232,Produksjon av bygningsartikler
16.240,Produksjon av treemballasje,16.240,Produksjon av treemballasje
16.250,Produksjon av dører og vinduer i tre,16.232,Produksjon av bygningsartikler
16.260,Produksjon av fast brensel av vegetabilsk biomasse,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer"
16.270,Etterbehandling av treprodukter,16.210,Produksjon av finerplater og andre bygnings- og møbelplater av tre
16.270,Etterbehandling av treprodukter,16.220,Produksjon av sammensatte parkettstaver
16.270,Etterbehandling av treprodukter,16.232,Produksjon av bygningsartikler
16.270,Etterbehandling av treprodukter,16.240,Produksjon av treemballasje
16.270,Etterbehandling av treprodukter,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer"
16.280,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer"
17.210,"Produksjon av bølgepapp, papp og emballasje av papir og papp",17.210,Produksjon av bølgepapp og emballasje av papir og papp
17.220,"Produksjon av husholdnings-, sanitær- og toalettartikler",17.220,"Produksjon av husholdnings-, sanitær- og toalettartikler av papir"
17.240,Produksjon av tapet,17.240,Produksjon av tapeter
17.250,Produksjon av varer av papir og papp ellers,17.290,Produksjon av varer av papir og papp ellers
18.120,Trykking ellers,18.120,Trykking ellers
18.120,Trykking ellers,74.200,Fotografvirksomhet
